id,hate_feature_phrases_filtered
336667,"['content marketing', 'marketing program', 'stage nt', 'due ad', 'ad design', 'feature nt', 'lead nt', 'little nt', 'confusing nt', 'nt web', 'web dev', 'dev experience', 'experience evaluation', 'evaluation grid', 'favor market', 'market size', 'nt work', 'work enterprise', 'enterprise business', 'labeled market', 'market leader', 'portfolio comparison', 'comparison report', 'smaller startup']"
336671,[]
336688,[]
336718,"['solved iteration', 'messaging etc']"
336726,"['customizability button', 'button vendor', 'vendor page', 'working feedback']"
336856,"['lead lead', 'embed feature', 'limiting ability', 'specific section', 'testimonial embed']"
336870,"['outside idea', 'basic idea', 'limited suggestion', 'suggestion seem', 'spending money', 'inbound lead', 'lead activity', 'nt experience', 'specific product']"
337033,"['grid way', 'ass market', 'market presence']"
337119,"['customize qualification', 'qualification question', 'question anyone', 'anyone request', 'request demo']"
337501,"['nt element', 'element profile', 'profile page', 'customizable example', 'example watch', 'watch demo', 'demo button']"
337728,['survey process']
337902,['crowd month']
338568,"['little trouble', 'establishing contact', 'ongoing rep', 'rep person', 'set campaign', 'helpful instruction']"
339183,['open feedback']
339591,[]
341360,"['variety product', 'send customer', 'different page', 'page write']"
341641,['company profile']
342331,"['nt form', 'form deal', 'deal breaker']"
345131,"['lead report', 'scoring report', 'influenced volume']"
345742,"['nt basis', 'portal basis', 'regular basis', 'make change', 'select series', 'website see', 'brandfree r', 'r feed', 'publish website', 'testimonial website']"
346659,['lead feature']
347110,[]
348994,"['account manager', 'helpful feedback', 'open feedback', 'feedback bit', 'pricey business', 'small business', 'business market', 'market rate']"
351531,"['predefined page', 'ups example', 'example word', 'word software', 'software end', 'end product', 'product name', 'name product', 'product software', 'software sentence', 'software end']"
354532,"['impossible quantify', 'least quantify', 'hard quantify', 'quantify roi', 'roi track', 'track demo', 'demo request', 'salesforce measure', 'lie tofu', 'tofu brand', 'brand awareness', 'viewing page', 'page data', 'data pageviews', 'ip address', 'spotty database', 'database eg', 'comcast llc', 'viewed page', 'refining data', 'individual level', 'lead level', 'attribution value', 'touch channel']"
366147,"['multiple category', 'category technology', 'technology meet', 'multiple product', 'product category']"
366910,[]
369501,"['improve way', 'way video', 'video reader', 'grid format', 'current format']"
370467,"['upgraded license', 'license grid', 'grid badge', 'badge category', 'unfortunately leader', 'leader badge', 'profile report', 'report category', 'category leader', 'generated report', 'category leader', 'update badge', 'badge profile', 'profile whenas', 'whenas company', 'grid page', 'profile page', 'inaccurate category', 'category description', 'say leader', 'include brand', 'brand profile']"
371950,"['streamlined process', 'daunting cumbersome', 'see documentation', 'practice report', 'report spiff', 'spiff response']"
372540,"['downside product', 'product category', 'category le', 'others something', 'looking forward']"
377146,"['offering thing', 'api integration', 'leverage search', 'active search', 'search data', 'data push', 'push sale', 'sale team', 'update part', 'part beta', 'beta program', 'sfdc connector']"
377260,"['nt control', 'control traffic', 'traffic page', 'page increase']"
378271,"['brand recognition', 'recognition site', 'potential recognition']"
380575,"['core platform', 'basic team', 'need team', 'additional need']"
380649,"['made improvement', 'improvement visitor', 'prospect report', 'report lead', 'lead stats', 'leader batch', 'allow reflection', 'profile reflection', 'rid change']"
381519,"['bug side', 'admin side', 'side prevent', 'crowd team']"
396580,"['report tony', 'made everything', 'everything breeze']"
415865,"['keen tool', 'reporting tool', 'hard key', 'key word', 'word search', 'responsive company', 'research team']"
419224,"['potentiall expertise', 'expertise hook', 'feature eg', 'eg integrate', 'integrate crm']"
455401,[]
457279,"['data help', 'help support', 'support competitor', 'competitor comparison']"
457954,['month complaint']
457971,[]
474344,"['expand activity', 'independent company', 'stringent activity', 'activity springcm']"
479059,['visitor section']
492019,"['happening platform', 'make selfimplementation', 'selfimplementation cumbersome', 'cumbersome process']"
515733,"['lead generation', 'crowd link', 'weakest link']"
519906,"['possible download', 'download customer', 'paid product', 'additional insight', 'export option']"
527085,['customized data']
534024,[]
543274,"['information company', 'compare solution']"
547329,[]
555826,"['frontend customization', 'customization capability', 'capability minor']"
557524,[]
559639,"['different charity', 'charity option', 'option client', 'client choose']"
563097,"['take day', 'made capterra', 'capterra xero']"
572892,"['way block', 'block analytics', 'ip address', 'address differentiate', 'differentiate visitor', 'visitor traffic', 'traffic team', 'team monitoring', 'updating page']"
573859,"['option profile', 'log ticket', 'ticket support', 'preferable respond', 'personal linkedin', 'profile comment']"
574606,"['user report', 'report report']"
575567,"['permissioning option', 'authorize member', 'member management', 'management support', 'support team', 'team respond', 'giving access', 'dashboard option', 'option respond', 'respond company']"
579793,"['take parameter', 'clear waste', 'narrow waste', 'nt waste']"
604995,"['miss change', 'saving change', 'change show', 'show update']"
610996,"['side navigation', 'hard find', 'based everything']"
613314,"['business goal', 'goal drive', 'drive traffic', 'comparison tool']"
615952,[]
616298,"['platform lack', 'lack multilanguage', 'multilanguage support', 'oriented software', 'software market', 'global activity', 'writing something', 'language hand', 'credibility reputation', 'reputation score', 'table effords', 'commuincating platform', 'usa market', 'usa software', 'software consumer', 'consumer efford']"
617139,"['feedback customer', 'easier reward', 'redeem reward']"
626776,"['onboarding setup', 'setup simple']"
633169,[]
636315,"['manual integration', 'think customer', 'customer benefit', 'benefit finer', 'filtering criterion', 'validation contact', 'info generation', 'lead generation', 'offering instance', 'last name', 'name phone', 'phone number', 'incomplete lead', 'missing lead']"
637248,"['crowd marketing', 'marketing solution']"
637585,"['different category', 'done traction']"
639746,[]
641705,"['defer marketing', 'marketing director', 'director sale', 'sale customer']"
641731,['everythingi nt']
644918,['platform week']
645373,"['private help', 'help company', 'thank help']"
646011,"['user interface', 'little issue', 'cluttered issue', 'seem issue', 'visual hierarchy', 'difficult report', 'report offer', 'shame chat', 'minor chat', 'chat option', 'common bottom', 'icon bottom', 'several area', 'area site', 'make site', 'site feel', 'cluttered salesy', 'user interface']"
647201,"['expensive startup', 'startup buy', 'used year']"
649497,"['comprehensive list', 'list marketing', 'marketing asset', 'asset way', 'way asset', 'bigger customer', 'library customer', 'serve customer']"
658177,"['looking measure', 'measure roi']"
659355,"['lead capture', 'capture analytics', 'detail example', 'example category', 'category listing', 'generated view']"
663023,"['researching software', 'company name', 'name state']"
665413,"['trial click', 'quality lead']"
673068,"['elicits interaction', 'interaction view']"
673248,"['lack data', 'data connector', 'premium package', 'limited evaluate', 'evaluate customer', 'customer journey', 'journey salesforce', 'crowd result', 'evaluate roi', 'roi goal', 'goal platform', 'platform recommend', 'recommend development', 'development consider', 'introducing support', 'support data', 'data connector', 'connector salesforce', 'salesforce google', 'google analytics', 'adroll customization', 'customization support', 'support profile', 'tailored client', 'client need']"
674289,"['wanted move', 'ass inform', 'inform team', 'team gather', 'gather advice', 'advice others', 'others company']"
680490,"['onboarding process', 'attention detail', 'detail involvement', 'team rarity', 'larger organization', 'organization today']"
682660,"['premium profile', 'profile feature']"
689224,['landing page']
692878,"['email customer', 'email notify', 'notify customer', 'earn gift', 'gift card', 'offered chance', 'chance choose', 'choose date', 'date email', 'day period', 'period opinion', 'space email', 'customer option', 'future send', 'send email', 'email disclaimer', 'forgotdid nt', 'nt realize']"
697959,[]
700634,"['cluttered space', 'space overlistings', 'overlistings product']"
705595,['believe impedes']
708085,"['nt someone', 'intuitive someone', 'answer question']"
713971,"['utilize abm', 'abm functionality', 'quadrant functionality', 'serving offer', 'profile proactive', 'ie proactive', 'based account', 'account list']"
715566,['platform team']
716665,['add experience']
718100,['default category']
722725,['profile system']
728538,"['nt visibility', 'visibility data']"
729104,"['granular data', 'visiting category', 'category navigation', 'little backend', 'confusing backend', 'randomly menu']"
739332,"['looking area', 'area potential', 'potential concern']"
743188,['meter invitation']
747330,[]
747710,"['specific thing', 'thing nt']"
748284,"['think vision', 'vision roadmap', 'broader value', 'value guess', 'difficult part', 'part change', 'change management', 'management side', 'side ie', 'ie team', 'feature information', 'internal sale', 'sale marketing', 'marketing support', 'support product', 'product process']"
749930,['annual revenue']
753884,"['unsure money', 'hoping see']"
753914,[]
756422,"['effectiveness service', 'service area', 'area profile', 'profile service']"
766100,"['manual thing', 'thing account', 'mapping implementation', 'intensive sale', 'sale op', 'andor end', 'end user', 'working way', 'improve work', 'work flow', 'think playbook']"
778182,[]
780657,"['initial performance', 'performance goal', 'lead generation', 'generation brand', 'brand visibility', 'visibility leader', 'grid nt', 'frankly nt', 'lead placement', 'annual contract', 'see activity', 'regular activity', 'effectiveness intent', 'intent program', 'expensive justify', 'difficult justify', 'low cost', 'cost acquisition', 'needed roi']"
803810,"['additional work', 'update integration', 'api integration', 'marketingdisplaysocial platform']"
807569,[]
807808,"['deal sale', 'sale onboarding', 'onboarding process']"
815404,"['used premium', 'premium account', 'feature question']"
846349,"['login process', 'email login', 'login account']"
862086,"['demandgen marketer', 'lead goal', 'hoping see', 'nt doubt', 'broader value', 'value platform', 'exposed visitor', 'visitor data', 'evidence role', 'buying process', 'assign value', 'value roi', 'focused environment', 'established sale', 'sale system']"
877046,"['nt self', 'self service', 'needed support', 'support example', 'example company', 'company bio', 'bio logo', 'nt change']"
879143,[]
879145,[]
879317,"['provided marketshare', 'raw user', 'user data']"
884266,"['select owner', 'owner product', 'figured notification', 'personal email', 'email address', 'linkedin account', 'email account']"
898607,"['buyer intent', 'money name', 'name email', 'email address']"
911743,[]
914854,"['event team', 'team bit', 'valid user', 'user client', 'client event', 'event reason', 'different function']"
946205,"['landing page', 'configure order', 'show customization', 'customization option', 'option ability', 'see view', 'view page']"
953874,"['service bit', 'pricey side']"
977830,[]
990946,"['overall platform', 'take thing', 'practice customer', 'team presence', 'presence europe', 'european marketing', 'big plus']"
1081297,[]
1093460,"['backend interface', 'little bit', 'intuitive possibility', 'possibility rule', 'based customer', 'customer intent', 'intent email']"
1108085,"['nt category', 'category research', 'research team', 'little bit']"
1198532,['crowd experience']
1210139,"['complaint product', 'product staff', 'staff service', 'prize quality', 'date day', 'day post', 'post account', 'nt wig', 'actual software', 'fake news', 'news fake', 'pokemon team', 'crowd catch']"
1239365,"['algorithm prioritize', 'recent nt', 'helpful nt', 'lengthy nt', 'context consideration', 'increase subscription', 'subscription price', 'price year', 'functionality tool', 'tool leverage', 'cost smbs']"
1252607,"['onboarded clarity', 'clarity pricing', 'pricing pricing', 'pricing talk', 'happen lends', 'beginning lends', 'lends confusion']"
1299532,['long way']
1305076,"['pushing account', 'automated advertising', 'advertising campaign', 'programmatic channel', 'done csv', 'csv file', 'solvable zapier', 'using zapier', 'see integration', 'eg outreachio']"
1322855,"['little traffic', 'australianz roi', 'seeing roi']"
1333787,"['feature cram', 'cram denying', 'big improvement', 'improvement tournew', 'tournew tool', 'tool guide', 'starting look', 'bring future']"
1368615,"['visitor traffic', 'traffic reading']"
1369667,"['platform interface', 'intuitive consumer', 'difficult consumer', 'switch consumer', 'consumer view', 'admin view']"
1408916,[]
1419587,[]
1419959,"['easier way', 'way buyer', 'buyer intent', 'intent data', 'data system', 'system salesforce', 'easier abm']"
1444638,"['interestlike tech', 'tech companyin', 'integrated platform', 'remain customer', 'communication call', 'set integration', 'end moment', 'deal breaker', 'small team', 'bootstrapped team', 'team need', 'need bit', 'bit consideration', 'platform team']"
1449362,['working campaign']
1452442,"['biggest hurtle', 'lead integration', 'data way', 'prior buying', 'key feature', 'pinged team', 'little therefore', 'turned experience', 'specific way', 'turn way', 'wanted wait', 'wait week', 'lead api', 'product advancement', 'product continue', 'existing value', 'update nt', 'charged demand', 'demand generation', 'lead generation', 'scoring anything', 'lead way', 'way leverage', 'leverage data', 'data value', 'value boat', 'boat load']"
1482242,"['deeper customization', 'customization work']"
1522203,"['growing company', 'finding way', 'core team', 'helping guide']"
1549356,[]
1579720,"['meeting account', 'account manager', 'onboarding process']"
1595847,"['character requirement', 'requirement cost']"
1663299,['day night']
1666968,"['little staff', 'help staff', 'staff everything', 'everything fall', 'fall place', 'place complaint', 'lead management', 'management screen', 'nt work', 'work lead', 'possible solution', 'customize solution', 'little bit', 'bit suit', 'individual requirement']"
1683784,"['user interface', 'interface application', 'onboarding process']"
1685465,[]
1691819,['encountered anything']
1691839,[]
1706680,['receive formfill']
1709075,"['feature require', 'require plan', 'pricey startup']"
1728103,['overall experience']
1760009,"['customizable product', 'hard product', 'crowd customer', 'valuable show']"
1760163,"['score impact', 'total vendor']"
1793050,"['little pricey', 'compared competitor']"
1872588,"['little star', 'unclear star', 'star tenth', 'tenth star']"
1912208,"['found anything', 'crowd team', 'team product', 'product point']"
1912519,"['tool opportunity', 'offer customizations', 'future customization', 'customization option']"
1922126,"['negative develop', 'improve develop', 'develop implementation']"
1930390,[]
1934479,"['lead traction', 'traction platform', 'big lead', 'platform hope', 'organic channel', 'cap amount', 'extra lead', 'close number', 'number begin']"
1950207,"['complaint tat', 'reply issue', 'issue bit']"
1952916,[]
1953502,['email notification']
1960560,"['minor tech', 'tech hiccup', 'little patience', 'tier data', 'data content', 'content mystifying']"
1967866,"['helpful decrease', 'total number']"
1968850,['found anything']
1992901,"['initial email', 'due email', 'email issue', 'issue end', 'little end']"
2007693,"['limitation profile', 'profile data', 'platform team', 'help data']"
2014260,"['bug reference', 'reference sheet', 'sheet tool', 'talk realm']"
2032398,"['little price', 'center price', 'little price', 'clunky price', 'price performance', 'bit longterm', 'question longterm']"
2066294,"['buyer intent', 'intent notification', 'receive report']"
2077462,['contact detail']
2080920,[]
2090914,"['include customer', 'customer name', 'name list', 'list customer', 'admin account']"
2104489,[]
2134819,"['nt notice', 'notice everything']"
2158700,"['overall way', 'look market', 'market way', 'calculates market', 'market presence', 'grid report', 'report improvement', 'factor number', 'number employee', 'employee revenue', 'web presence', 'hundred product', 'advantage specialist', 'market company', 'microsoft market', 'market presence', 'presence sheer', 'sheer size', 'handful employee']"
2182313,"['landing page', 'response campaign']"
2188856,"['quadrant rating', 'based variety', 'variety factor']"
2202399,[]
2264645,"['management perspective', 'aspect change', 'change flexibility', 'flexibility call', 'page product', 'trial feel', 'potential customer', 'customer offering']"
2277772,"['lead generation', 'generation result', 'low funnel', 'lead generation']"
2280568,"['enterprise tool', 'digest support', 'onboarding team']"
2289204,"['feature till', 'till account', 'account manager', 'reported issue', 'submission failure', 'submit button']"
2310756,"['nt tell', 'tell account', 'account manager', 'little thing', 'bit thing', 'expensive vendor']"
2324242,"['extracting information', 'information lead', 'lead company', 'nt expect']"
2366343,"['issue banner', 'banner badge', 'additional charge', 'charge integration', 'integration platform', 'platform hubspot', 'using platform']"
2506505,"['price point', 'tier prevents', 'upgrade prevents', 'steep prevents', 'making platform', 'export data', 'data profile']"
2589127,[]
2717293,"['customer express', 'express frustration', 'likely error', 'due error', 'email verification', 'coach customer', 'additional step', 'drop list', 'customer unsure']"
2743218,"['platform functionality', 'limited package', 'depending package', 'purchased feature', 'standard operate', 'enhanced package', 'frustrating design', 'design program']"
2765243,"['site broader', 'broader marketing', 'marketing campaign', 'little competitor', 'clunkier competitor']"
2768965,"['actionable nt', 'visibility search', 'search result', 'callcontact center', 'customer prospect', 'prospect leverage', 'leverage buying', 'buying research']"
2769307,"['improving admin', 'room improvement', 'improvement regard', 'link event', 'event campaign']"
2788151,"['small business', 'business value']"
2813032,"['little hiccup', 'profile start']"
2827462,[]
2879335,"['da minha', 'minha experincia', 'algoritmo priorizar', 'priorizar revise', 'revise que', 'nem mais', 'mais teis', 'teis porque', 'considerao contexto', 'contexto processo', 'para campanha', 'uma campanha', 'e canais', 'canais programticos', 'programticos feitos', 'feitos com', 'com arquivos', 'arquivos csv', 'csv ma', 'ma solucionvel', 'usando zapier', 'zapier como', 'como algum', 'algum sendo', 'sendo incorporado', 'incorporado pode', 'pode haver', 'haver mais', 'mais clareza', 'clareza com', 'com o', 'o preos', 'preos e', 'e que', 'que voc', 'voc ganha', 'ganha com', 'com esse', 'esse preo']"
2885687,"['due expectation', 'expectation sale', 'sale thr', 'thr reality', 'onboarding totlaly', 'effort resolve']"
2894468,"['number lead', 'improved translation']"
2909324,"['long anything', 'find anything', 'minor bug', 'bug data', 'sending rep']"
2922654,"['result question', 'question authenticity']"
2943511,"['expensive see', 'see return']"
2976624,"['csm way', 'way share', 'configurable ie', 'ie nt', 'website share', 'proof site']"
2982836,"['buyer intent', 'lead luck', 'nt luck']"
3015707,['onboarding help']
3034110,[]
3064509,"['specific downside', 'energy resource', 'resource commit', 'thought process', 'committed process', 'process advise', 'advise team', 'team point', 'point person', 'person champion', 'champion organization']"
3086303,[]
3116772,[]
3132584,"['tasking process', 'legitimate verify', 'verify customer']"
3132726,"['validation process', 'process bit', 'prior validation', 'sharpen user', 'rejected error', 'error user', 'user validation', 'validated identity', 'email address', 'address validation']"
3133358,"['verification process', 'mysterious thing', 'stepped thing', 'answered question', 'found answer']"
3137866,[]
3149040,[]
3170007,[]
3184436,[]
3184511,[]
3190452,"['improve salesforce', 'salesforce integration', 'efficient information']"
3218910,"['downside moment', 'create platform', 'platform tbd']"
3228275,[]
3245080,[]
3245113,[]
3269303,[]
3291426,"['negative platform', 'platform future']"
3351415,"['website need', 'ui need', 'upgrade need', 'easier need']"
3494481,"['bump term', 'term classify', 'classify company', 'set product', 'delayed thing']"
3520374,"['category category', 'several vendor', 'different offering', 'client show', 'show competitor']"
3554734,"['discover way', 'way tool', 'nonsoftware sale']"
3559841,"['leverage intent', 'intent data']"
3715319,[]
3715345,[]
3715358,[]
3715380,[]
3715404,[]
3716338,[]
3747554,[]
3758942,"['individual profile', 'profile profile', 'expensive product', 'add product', 'product site']"
3795931,[]
3882408,[]
4094631,"['platform start', 'potential step', 'onboarding process', 'process followup', 'followup email']"
4095789,"['last year', 'year anything']"
4096348,"['long take', 'take fill']"
4101759,"['think navigation', 'admin platform', 'whiteboard product', 'product team']"
4104524,"['skeptical cost', 'upfront cost', 'cost marketing', 'plenty investment', 'return investment']"
4139195,"['little company', 'steep company', 'think pay']"
4141337,"['determine roi', 'investing platform', 'platform front', 'front team', 'comparable test', 'test data', 'data share']"
4143891,"['think clarity', 'algorithm determines', 'determines business', 'business category', 'category page', 'page clarity', 'ineligible case']"
4151698,['boarding session']
4166693,[]
4168053,"['onboarding process', 'long contact', 'contact point']"
4168233,"['option gif', 'gif cover', 'cover picture']"
4178531,"['csm sale', 'sale team', 'team platform']"
4194616,"['think reverse', 'reverse ip', 'ip look', 'potential customer', 'customer buyer', 'buyer intent', 'nonlead program', 'generating program', 'program nt', 'select category', 'category brand', 'brand fall', 'fall nt', 'graph category', 'qualify buyer', 'buyer intent', 'intent data']"
4194982,"['market data', 'number category', 'category crossover', 'tangental productssolutions', 'productssolutions buyer', 'buyer intent', 'intent data', 'level detail', 'drop process']"
4208348,['process user']
4212266,"['extra integration', 'integration tool', 'pipedrive crm', 'deal breaker']"
4216528,"['think administration', 'administration site', 'nt heard', 'outline step', 'initial profile']"
4258458,"['couple product', 'product recommendation', 'usage platform', 'taken account']"
4262009,"['platform process', 'onboarding process', 'hard work']"
4343166,"['likenamed product', 'product sort', 'ran issue', 'issue automation', 'external marketing', 'linkedin site', 'site value', 'value product']"
4358025,['platform nt']
4360983,"['intent data', 'product tier', 'tier volume', 'low product', 'product page', 'level intent', 'justify investment', 'investment middle', 'middle tier']"
4366410,"['found place', 'place documentation', 'documentation feature', 'feature nt', 'look imagesexamples', 'dummy data']"
4374917,"['integrating salesforce', 'anticipated development', 'development team', 'step help', 'dealing permission', 'permission issue']"
4378291,[]
4381267,[]
4396413,"['capability bit', 'tackle everything', 'customer relationship', 'relationship manager', 'leveraging platform', 'platform offer']"
4426733,"['handling company', 'company page', 'page oorwin', 'moderation policy', 'stringent thought', 'thought effort', 'rejection rate']"
4443836,['lead opportunity']
4457650,"['cc purchase', 'purchase gift', 'gift card', 'roadmap heard']"
4469517,"['reporting need', 'need improvement', 'helpful roi', 'roi tool', 'salesforce map', 'map buyer', 'buyer intent', 'intent opportunity', 'buyer intent', 'opp lead', 'opp lead', 'lead gen', 'v influence', 'tool retool', 'measure impact', 'buyer intent', 'resource end', 'end configure', 'configure salesforce', 'sfdc connector', 'make pull', 'similar roi', 'roi reporting']"
4494886,[]
4500906,"['buy option', 'option take', 'take advantage']"
4523204,"['market category', 'comparing apple', 'apple orange', 'grid cybersecurity', 'cybersecurity product', 'least security', 'step security', 'peer security', 'insight security', 'security category']"
4533105,[]
4552188,"['transparency criterion', 'used rank', 'rank company', 'company rank', 'rank grid', 'obvious weight', 'weight attribute', 'attribute increase', 'increase decrease', 'decrease company', 'company position']"
4642852,"['integrate intent', 'intent data', 'data something', 'marketo instance']"
4644690,['call point']
4647006,"['using resource', 'resource page']"
4647035,"['marketing solution', 'solution date', 'date collaboration']"
4649676,"['product roadmap', 'roadmap transparency', 'transparency customer', 'customer feedback', 'feedback help', 'drive innovation', 'showcasing customer', 'customer shape']"
4650358,"['multiple profile', 'platform roll', 'prefer roll', 'disjointed way', 'way money']"
4651630,[]
4651812,[]
4652640,"['additional pricing', 'pricing option', 'varying level', 'level content', 'content licensing', 'licensing package']"
4652644,"['nt visibility', 'sort feedback']"
4652662,"['organization inability', 'sfdc connector', 'bad data', 'tough launch']"
4652666,['helping issue']
4652680,"['competitive perspective', 'perspective vendor', 'able rank', 'specific case', 'grid case', 'case vendor', 'create talk', 'dismiss talk', 'talk track', 'track seller', 'seller example', 'example competitor', 'competitor x', 'grid rule', 'specific rule', 'rule vendor', 'follow order', 'order rank', 'grid opinion', 'specific seller']"
4652717,"['nt consult', 'platform consult', 'consult distribute']"
4652795,[]
4652905,"['marketing solution', 'difficult solution', 'solution business', 'account manager', 'manager csm', 'helpful process']"
4654750,"['profile package', 'package pricey', 'aligned business', 'nt engage', 'accountbased marketing', 'business intent', 'intent data', 'lead demand', 'demand generation']"
4654874,"['downside issue', 'make thing', 'put practice']"
4657844,"['paid feature', 'utilize plan', 'fullest team', 'potential team', 'c team', 'team eager', 'onboarding process', 'baby step', 'step roll']"
4657881,"['shared feedback', 'feedback improvement', 'see process']"
4657994,"['grid report', 'little term', 'selective term', 'term category', 'category segment', 'segment place', 'volume report', 'report badge', 'difficult hone', 'hone message', 'message leverage', 'leverage sale', 'sale team', 'key area']"
4658868,"['content license', 'category solution', 'solution fall', 'costprohibitive solution', 'solution fall']"
4659257,"['implement demand', 'smaller demand', 'demand gen', 'gen team', 'expanding effort', 'effort bit', 'difficult account', 'leaned account', 'account team', 'team help', 'nt thing', 'bad thing', 'room grow']"
4659651,"['difficult multifunction', 'multifunction team', 'team manage']"
4659801,[]
4659807,"['nt complaint', 'valued partner']"
4660027,"['quarterly report', 'report methodology', 'additional detail', 'detail explanation']"
4660094,['previous company']
4660291,"['nt anything', 'add everything']"
4660580,"['portion audience', 'audience view', 'view information', 'information skepticism', 'ample information']"
4660815,"['leading saas', 'site view', 'necessary evil', 'need presence', 'money order', 'return number', 'bigger company', 'company customer', 'inherent advantage', 'advantage startup', 'growing company', 'account team', 'seems something', 'something couldshould']"
4660905,"['mind experience', 'marketing solution', 'solution team', 'informative helpful']"
4661548,"['terminus integration', 'integration complexity', 'complexity salesforce', 'salesforce integration']"
4662610,"['profile category', 'complex portfolio', 'embedded solution']"
4662812,"['different user', 'user type', 'type result', 'result company', 'company product', 'grid report', 'report bit', 'different case', 'internal adoption', 'adoption intent', 'intent data', 'data comparison', 'comparison page', 'data hand', 'simple leverage', 'leverage data', 'help customer', 'decision term', 'prospect focus', 'put nurture', 'nurture track']"
4663395,"['easier automate', 'using salesforce']"
4666860,"['intent data', 'marketing program', 'user level', 'level data', 'intent company', 'difficult data', 'put data', 'scalable program']"
4666992,"['amount report', 'report offer', 'dilutes validity', 'prospect sale', 'insight product']"
4667026,"['think anything', 'anything moment']"
4668614,"['email notification', 'nt send', 'send repetitive', 'repetitive alert', 'week company', 'nt miss', 'miss anything', 'personal information', 'nt person', 'insight person', 'little leverage', 'larger outreach', 'net outreach', 'initial outreach', 'outreach nt', 'thing customer', 'feel company', 'choose video', 'information nt', 'left customer', 'false claim', 'verified customer', 'customer make', 'tarnish brand']"
4668834,"['jump mind', 'mind moment', 'moment question', 'question concern', 'prompt helpful', 'helpful c', 'c team']"
4669024,"['actual contact', 'contact info', 'hard person', 'specific person', 'different location']"
4669802,[]
4671079,"['content opportunity', 'fullest potential']"
4671454,['dabbled couple']
4675082,"['thing team', 'team effort', 'solid team', 'internal team', 'create movement', 'movement company']"
4677865,"['enough question', 'form lead']"
4700888,"['content license', 'category product', 'product meaning', 'different product', 'product type', 'type pay', 'group package', 'package company', 'multiple category', 'category making']"
4704116,"['advantage service', 'leveraged everything']"
